"","user_id","learner_id","native_pl","assessment","assess_score_first_perc","assess_score_final_perc","feedback","state","start","end","dur"
"1",144,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"2",68,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"3",145,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"4",92,"P034",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"5",26,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"6",123,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"7",56,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"8",25,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"9",59,"P012",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"10",129,"P020",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"11",41,"P050",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"12",71,"P063",1,"Progress test: Topics 9-12",NA,65,NA,NA,NA,NA,NA
"13",121,"P040",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"14",74,"P024",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"15",143,"P021",1,"Progress test: Topics 9-12",NA,72.5,NA,NA,NA,NA,NA
"16",55,"P002",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"17",109,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"18",78,"P014",1,"Progress test: Topics 9-12",NA,76.25,NA,NA,NA,NA,NA
"19",47,"P017",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"20",42,"P015",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"21",117,"P043",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"22",101,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"23",80,"P023",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"24",33,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"25",139,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"26",54,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"27",77,NA,1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"28",87,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"29",75,"P007",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"30",104,"P062",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"31",22,"P080",1,"Progress test: Topics 9-12",NA,82.5,NA,NA,NA,NA,NA
"32",105,"P056",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"33",19,NA,1,"Progress test: Topics 9-12",NA,72.5,NA,NA,NA,NA,NA
"34",84,"P052",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"35",132,"P044",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"36",21,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"37",31,"P047",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"38",98,"P067",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"39",57,"P028",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"40",110,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"41",88,"P022",1,"Progress test: Topics 9-12",NA,73.75,NA,NA,NA,NA,NA
"42",114,"P027",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"43",35,"P013",1,"Progress test: Topics 9-12",NA,76.25,NA,NA,NA,NA,NA
"44",58,"P004",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"45",15,"P035",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"46",82,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"47",73,"P039",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"48",137,"P051",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"49",72,"P010",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"50",23,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"51",108,"P032",1,"Progress test: Topics 9-12",NA,60,"retake",NA,NA,NA,NA
"52",18,NA,0,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"53",147,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"54",86,"P029",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"55",30,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"56",61,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"57",135,"P036",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"58",89,"P058",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"59",76,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"60",127,NA,1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"61",20,"P081",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"62",38,NA,0,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"63",70,"P045",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"64",37,"P016",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"65",125,NA,0,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"66",103,"P011",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"67",95,"P019",1,"Progress test: Topics 9-12",NA,0,NA,NA,NA,NA,NA
"68",69,"P057",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"69",97,"P025",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"70",46,"P030",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"71",133,"P048",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"72",67,"P018",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"73",83,"P003",1,"Progress test: Topics 9-12",NA,77.5,NA,NA,NA,NA,NA
"74",36,"P006",1,"Progress test: Topics 9-12",NA,82.5,NA,NA,NA,NA,NA
"75",32,NA,0,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"76",116,"P046",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"77",107,"P079",1,"Progress test: Topics 9-12",NA,60,NA,NA,NA,NA,NA
"78",81,NA,1,"Progress test: Topics 9-12",NA,NA,NA,NA,NA,NA,NA
"79",144,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"80",68,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"81",145,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"82",92,"P034",1,"Progress test: Topics 9-15",NA,42.5,NA,NA,NA,NA,NA
"83",26,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"84",123,NA,0,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"85",56,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"86",25,NA,1,"Progress test: Topics 9-15",NA,NA,NA,NA,NA,NA,NA
"87",59,"P012",1,"Progress test: Topics 9-15",NA,61.67,NA,NA,NA,NA,NA
