"","surv_att_id","user_id","learner_id","surv_att_time","surv_id","surv_title","surv_q_id","surv_q_title","surv_q_pos","surv_q_text","surv_q_req","surv_scale_row_id","surv_scale_cell_val","surv_scale_row_text","surv_scale_col_text","surv_q_text_answer"
"1",1,49,NA,2015-10-15 09:46:00,1,"Topic 2 - Survey",1,"Topic 2 - Pre-class difficulty",1,"<p>Please rate the <b>difficulty</b> of the <b>pre-class</b>&nbsp;<b>Moodle lesson </b>for <b>Topic 2</b>.&nbsp;<br></p>","y",6,3,NA,"3=Just right",NA
"2",1,49,NA,2015-10-15 09:46:00,1,"Topic 2 - Survey",2,"Topic 2 - Post-class diff",4,"Please rate the <b>difficulty</b> of the<b> post-class Moodle quiz</b> for <b>Topic 2</b>.","y",12,3,NA,"3=Just right",NA
"3",1,49,NA,2015-10-15 09:46:00,1,"Topic 2 - Survey",3,"Topic 2 - Engagement",3,"Please rate <b>your engagement</b> with the <b>real-life class</b>&nbsp;for <b>Topic 2</b>.<p><i>Engaged</i>&nbsp;means that you felt involved, listened to the teacher, actively&nbsp;participated in classroom work, etc.<br><i>Disengaged&nbsp;</i><span style=""float: none; display: inline !important;"">means that you felt bored, didn't listen to the teacher, didn't&nbsp;actively participate in classroom work, etc.</span></p><p></p><p></p>","y",18,3,NA,"3=Neutral",NA
"4",1,49,NA,2015-10-15 09:46:00,1,"Topic 2 - Survey",4,"Topic 2 - Pre-class usefulness",2,"Did the <b>pre-class Moodle lesson</b>&nbsp;for <b>Topic 2</b> prepare you for the <b>real-world class</b>?","y",21,1,NA,"1=Yes",NA
"5",1,49,NA,2015-10-15 09:46:00,1,"Topic 2 - Survey",5,"Topic 2 - Pron usefulness",5,"<p>Do you think&nbsp;<b>Topic 2</b>&nbsp;will help you in mastering English pronunciation?</p>","y",24,1,NA,"1=Yes",NA
"6",2,22,"P080",2015-10-15 10:40:29,1,"Topic 2 - Survey",1,"Topic 2 - Pre-class difficulty",1,"<p>Please rate the <b>difficulty</b> of the <b>pre-class</b>&nbsp;<b>Moodle lesson </b>for <b>Topic 2</b>.&nbsp;<br></p>","y",6,3,NA,"3=Just right",NA
"7",2,22,"P080",2015-10-15 10:40:29,1,"Topic 2 - Survey",2,"Topic 2 - Post-class diff",4,"Please rate the <b>difficulty</b> of the<b> post-class Moodle quiz</b> for <b>Topic 2</b>.","y",12,3,NA,"3=Just right",NA
"8",2,22,"P080",2015-10-15 10:40:29,1,"Topic 2 - Survey",3,"Topic 2 - Engagement",3,"Please rate <b>your engagement</b> with the <b>real-life class</b>&nbsp;for <b>Topic 2</b>.<p><i>Engaged</i>&nbsp;means that you felt involved, listened to the teacher, actively&nbsp;participated in classroom work, etc.<br><i>Disengaged&nbsp;</i><span style=""float: none; display: inline !important;"">means that you felt bored, didn't listen to the teacher, didn't&nbsp;actively participate in classroom work, etc.</span></p><p></p><p></p>","y",18,5,NA,"5=Very engaged",NA
"9",2,22,"P080",2015-10-15 10:40:29,1,"Topic 2 - Survey",4,"Topic 2 - Pre-class usefulness",2,"Did the <b>pre-class Moodle lesson</b>&nbsp;for <b>Topic 2</b> prepare you for the <b>real-world class</b>?","y",21,1,NA,"1=Yes",NA
"10",2,22,"P080",2015-10-15 10:40:29,1,"Topic 2 - Survey",5,"Topic 2 - Pron usefulness",5,"<p>Do you think&nbsp;<b>Topic 2</b>&nbsp;will help you in mastering English pronunciation?</p>","y",24,1,NA,"1=Yes",NA
"11",3,19,NA,2015-10-15 12:39:08,1,"Topic 2 - Survey",1,"Topic 2 - Pre-class difficulty",1,"<p>Please rate the <b>difficulty</b> of the <b>pre-class</b>&nbsp;<b>Moodle lesson </b>for <b>Topic 2</b>.&nbsp;<br></p>","y",6,3,NA,"3=Just right",NA
"12",3,19,NA,2015-10-15 12:39:08,1,"Topic 2 - Survey",2,"Topic 2 - Post-class diff",4,"Please rate the <b>difficulty</b> of the<b> post-class Moodle quiz</b> for <b>Topic 2</b>.","y",12,3,NA,"3=Just right",NA
